zipcode,city,state,country
124513,Ambala  ,Haryana,India
124514,Ambala  ,Haryana,India
125001,Ambala  ,Haryana,India
125004,Ambala  ,Haryana,India
125005,Ambala  ,Haryana,India
125006,Ambala  ,Haryana,India
125007,Ambala  ,Haryana,India
125011,Ambala  ,Haryana,India
125033,Ambala  ,Haryana,India
125037,Ambala  ,Haryana,India
125038,Ambala  ,Haryana,India
125039,Ambala  ,Haryana,India
125042,Ambala  ,Haryana,India
125044,Ambala  ,Haryana,India
125047,Ambala  ,Haryana,India
125048,Ambala  ,Haryana,India
125049,Ambala  ,Haryana,India
125050,Ambala  ,Haryana,India
125051,Ambala  ,Haryana,India
125052,Ambala  ,Haryana,India
125053,Ambala  ,Haryana,India
125054,Ambala  ,Haryana,India
125055,Ambala  ,Haryana,India
125056,Ambala  ,Haryana,India
125058,Ambala  ,Haryana,India
125060,Ambala  ,Haryana,India
125075,Ambala  ,Haryana,India
125076,Ambala  ,Haryana,India
125077,Ambala  ,Haryana,India
125078,Ambala  ,Haryana,India
125101,Ambala  ,Haryana,India
125102,Ambala  ,Haryana,India
125103,Ambala  ,Haryana,India
125104,Ambala  ,Haryana,India
125106,Ambala  ,Haryana,India
125110,Ambala  ,Haryana,India
125111,Ambala  ,Haryana,India
125112,Ambala  ,Haryana,India
125113,Ambala  ,Haryana,India
125120,Ambala  ,Haryana,India
125121,Ambala  ,Haryana,India
125133,Ambala  ,Haryana,India
125201,Ambala  ,Haryana,India
126101,Ambala  ,Haryana,India
126102,Ambala  ,Haryana,India
126110,Ambala  ,Haryana,India
126111,Ambala  ,Haryana,India
126112,Ambala  ,Haryana,India
126113,Ambala  ,Haryana,India
126114,Ambala  ,Haryana,India
126115,Ambala  ,Haryana,India
126116,Ambala  ,Haryana,India
126125,Ambala  ,Haryana,India
126152,Ambala  ,Haryana,India
127021,Ambala  ,Haryana,India
127022,Ambala  ,Haryana,India
127025,Ambala  ,Haryana,India
127026,Ambala  ,Haryana,India
127027,Ambala  ,Haryana,India
127028,Ambala  ,Haryana,India
127029,Ambala  ,Haryana,India
127030,Ambala  ,Haryana,India
127031,Ambala  ,Haryana,India
127032,Ambala  ,Haryana,India
127035,Ambala  ,Haryana,India
127040,Ambala  ,Haryana,India
127041,Ambala  ,Haryana,India
127042,Ambala  ,Haryana,India
127043,Ambala  ,Haryana,India
127045,Ambala  ,Haryana,India
127046,Ambala  ,Haryana,India
127111,Ambala  ,Haryana,India
127114,Ambala  ,Haryana,India
127201,Ambala  ,Haryana,India
127306,Ambala  ,Haryana,India
127307,Ambala  ,Haryana,India
127308,Ambala  ,Haryana,India
127309,Ambala  ,Haryana,India
127310,Ambala  ,Haryana,India
131001,Ambala  ,Haryana,India
131021,Ambala  ,Haryana,India
131022,Ambala  ,Haryana,India
131023,Ambala  ,Haryana,India
131024,Ambala  ,Haryana,India
131027,Ambala  ,Haryana,India
131028,Ambala  ,Haryana,India
131029,Ambala  ,Haryana,India
131039,Ambala  ,Haryana,India
131101,Ambala  ,Haryana,India
131102,Ambala  ,Haryana,India
131103,Ambala  ,Haryana,India
131301,Ambala  ,Haryana,India
131302,Ambala  ,Haryana,India
131304,Ambala  ,Haryana,India
131305,Ambala  ,Haryana,India
131306,Ambala  ,Haryana,India
131402,Ambala  ,Haryana,India
131403,Ambala  ,Haryana,India
131408,Ambala  ,Haryana,India
131409,Ambala  ,Haryana,India
132001,Ambala  ,Haryana,India
132022,Ambala  ,Haryana,India
132023,Ambala  ,Haryana,India
132024,Ambala  ,Haryana,India
132036,Ambala  ,Haryana,India
132037,Ambala  ,Haryana,India
132039,Ambala  ,Haryana,India
132040,Ambala  ,Haryana,India
132041,Ambala  ,Haryana,India
132046,Ambala  ,Haryana,India
132054,Ambala  ,Haryana,India
132101,Ambala  ,Haryana,India
132102,Ambala  ,Haryana,India
132103,Ambala  ,Haryana,India
132104,Ambala  ,Haryana,India
132105,Ambala  ,Haryana,India
132106,Ambala  ,Haryana,India
132107,Ambala  ,Haryana,India
132108,Ambala  ,Haryana,India
132113,Ambala  ,Haryana,India
132114,Ambala  ,Haryana,India
132115,Ambala  ,Haryana,India
132116,Ambala  ,Haryana,India
132117,Ambala  ,Haryana,India
132122,Ambala  ,Haryana,India
132140,Ambala  ,Haryana,India
132145,Ambala  ,Haryana,India
132157,Ambala  ,Haryana,India
133001,Ambala  ,Haryana,India
133004,Ambala  ,Haryana,India
133005,Ambala  ,Haryana,India
133006,Ambala  ,Haryana,India
133101,Ambala  ,Haryana,India
133102,Ambala  ,Haryana,India
133103,Ambala  ,Haryana,India
133104,Ambala  ,Haryana,India
133201,Ambala  ,Haryana,India
133202,Ambala  ,Haryana,India
133203,Ambala  ,Haryana,India
133204,Ambala  ,Haryana,India
133205,Ambala  ,Haryana,India
133206,Ambala  ,Haryana,India
133207,Ambala  ,Haryana,India
133301,Ambala  ,Haryana,India
133302,Ambala  ,Haryana,India
134003,Ambala  ,Haryana,India
134005,Ambala  ,Haryana,India
134007,Ambala  ,Haryana,India
134101,Ambala  ,Haryana,India
134102,Ambala  ,Haryana,India
134103,Ambala  ,Haryana,India
134104,Ambala  ,Haryana,India
134107,Ambala  ,Haryana,India
134108,Ambala  ,Haryana,India
134109,Ambala  ,Haryana,India
134112,Ambala  ,Haryana,India
134113,Ambala  ,Haryana,India
134114,Ambala  ,Haryana,India
134116,Ambala  ,Haryana,India
134117,Ambala  ,Haryana,India
134118,Ambala  ,Haryana,India
134201,Ambala  ,Haryana,India
134202,Ambala  ,Haryana,India
134203,Ambala  ,Haryana,India
134204,Ambala  ,Haryana,India
134205,Ambala  ,Haryana,India
135001,Ambala  ,Haryana,India
135002,Ambala  ,Haryana,India
135003,Ambala  ,Haryana,India
135004,Ambala  ,Haryana,India
135021,Ambala  ,Haryana,India
135101,Ambala  ,Haryana,India
135102,Ambala  ,Haryana,India
135103,Ambala  ,Haryana,India
135106,Ambala  ,Haryana,India
135133,Ambala  ,Haryana,India
136020,Ambala  ,Haryana,India
136021,Ambala  ,Haryana,India
136026,Ambala  ,Haryana,India
136027,Ambala  ,Haryana,India
136030,Ambala  ,Haryana,India
136033,Ambala  ,Haryana,India
136034,Ambala  ,Haryana,India
136035,Ambala  ,Haryana,India
136038,Ambala  ,Haryana,India
136042,Ambala  ,Haryana,India
136043,Ambala  ,Haryana,India
136044,Ambala  ,Haryana,India
136117,Ambala  ,Haryana,India
136118,Ambala  ,Haryana,India
136119,Ambala  ,Haryana,India
136128,Ambala  ,Haryana,India
136129,Ambala  ,Haryana,India
136130,Ambala  ,Haryana,India
136131,Ambala  ,Haryana,India
136132,Ambala  ,Haryana,India
136135,Ambala  ,Haryana,India
136136,Ambala  ,Haryana,India
136156,Ambala  ,Haryana,India
140001,Chandigarh ,Punjab,India
140101,Chandigarh ,Punjab,India
140102,Chandigarh ,Punjab,India
140103,Chandigarh ,Punjab,India
140108,Chandigarh ,Punjab,India
140109,Chandigarh ,Punjab,India
140110,Chandigarh ,Punjab,India
140111,Chandigarh ,Punjab,India
140112,Chandigarh ,Punjab,India
140113,Chandigarh ,Punjab,India
140114,Chandigarh ,Punjab,India
140115,Chandigarh ,Punjab,India
140116,Chandigarh ,Punjab,India
140117,Chandigarh ,Punjab,India
140118,Chandigarh ,Punjab,India
140119,Chandigarh ,Punjab,India
140123,Chandigarh ,Punjab,India
140124,Chandigarh ,Punjab,India
140125,Chandigarh ,Punjab,India
140126,Chandigarh ,Punjab,India
140133,Chandigarh ,Punjab,India
140201,Chandigarh ,Punjab,India
140301,Chandigarh ,Punjab,India
140306,Chandigarh ,Punjab,India
140307,Chandigarh ,Punjab,India
140308,Chandigarh ,Punjab,India
140401,Chandigarh ,Punjab,India
140402,Chandigarh ,Punjab,India
140405,Chandigarh ,Punjab,India
140406,Chandigarh ,Punjab,India
140407,Chandigarh ,Punjab,India
140412,Chandigarh ,Punjab,India
140413,Chandigarh ,Punjab,India
140417,Chandigarh ,Punjab,India
140501,Chandigarh ,Punjab,India
140506,Chandigarh ,Punjab,India
140507,Chandigarh ,Punjab,India
140601,Chandigarh ,Punjab,India
140602,Chandigarh ,Punjab,India
140603,Chandigarh ,Punjab,India
140604,Chandigarh ,Punjab,India
140701,Chandigarh ,Punjab,India
140702,Chandigarh ,Punjab,India
140802,Chandigarh ,Punjab,India
140901,Chandigarh ,Punjab,India
141001,Chandigarh ,Punjab,India
141002,Chandigarh ,Punjab,India
141003,Chandigarh ,Punjab,India
141004,Chandigarh ,Punjab,India
141006,Chandigarh ,Punjab,India
141007,Chandigarh ,Punjab,India
141008,Chandigarh ,Punjab,India
141010,Chandigarh ,Punjab,India
141012,Chandigarh ,Punjab,India
141013,Chandigarh ,Punjab,India
141014,Chandigarh ,Punjab,India
141015,Chandigarh ,Punjab,India
141016,Chandigarh ,Punjab,India
141017,Chandigarh ,Punjab,India
141101,Chandigarh ,Punjab,India
141102,Chandigarh ,Punjab,India
141103,Chandigarh ,Punjab,India
141104,Chandigarh ,Punjab,India
141105,Chandigarh ,Punjab,India
141106,Chandigarh ,Punjab,India
141107,Chandigarh ,Punjab,India
141108,Chandigarh ,Punjab,India
141109,Chandigarh ,Punjab,India
141110,Chandigarh ,Punjab,India
141112,Chandigarh ,Punjab,India
141113,Chandigarh ,Punjab,India
141114,Chandigarh ,Punjab,India
141115,Chandigarh ,Punjab,India
141116,Chandigarh ,Punjab,India
141117,Chandigarh ,Punjab,India
141118,Chandigarh ,Punjab,India
141119,Chandigarh ,Punjab,India
141120,Chandigarh ,Punjab,India
141121,Chandigarh ,Punjab,India
141122,Chandigarh ,Punjab,India
141123,Chandigarh ,Punjab,India
141125,Chandigarh ,Punjab,India
141126,Chandigarh ,Punjab,India
141127,Chandigarh ,Punjab,India
141201,Chandigarh ,Punjab,India
141202,Chandigarh ,Punjab,India
141203,Chandigarh ,Punjab,India
141204,Chandigarh ,Punjab,India
141205,Chandigarh ,Punjab,India
141206,Chandigarh ,Punjab,India
141401,Chandigarh ,Punjab,India
141411,Chandigarh ,Punjab,India
141412,Chandigarh ,Punjab,India
141413,Chandigarh ,Punjab,India
141414,Chandigarh ,Punjab,India
141415,Chandigarh ,Punjab,India
141416,Chandigarh ,Punjab,India
141417,Chandigarh ,Punjab,India
141418,Chandigarh ,Punjab,India
141419,Chandigarh ,Punjab,India
141421,Chandigarh ,Punjab,India
141422,Chandigarh ,Punjab,India
141801,Chandigarh ,Punjab,India
142001,Chandigarh Region,Punjab,India
142002,Chandigarh Region,Punjab,India
142003,Chandigarh Region,Punjab,India
142011,Chandigarh Region,Punjab,India
142021,Chandigarh ,Punjab,India
142022,Chandigarh ,Punjab,India
142023,Chandigarh ,Punjab,India
142024,Chandigarh ,Punjab,India
142025,Chandigarh ,Punjab,India
142026,Chandigarh ,Punjab,India
142027,Chandigarh ,Punjab,India
142028,Chandigarh ,Punjab,India
142029,Chandigarh ,Punjab,India
142030,Chandigarh ,Punjab,India
142031,Chandigarh ,Punjab,India
142032,Chandigarh ,Punjab,India
142033,Chandigarh ,Punjab,India
142034,Chandigarh ,Punjab,India
142035,Chandigarh ,Punjab,India
142036,Chandigarh ,Punjab,India
142037,Chandigarh Region,Punjab,India
142038,Chandigarh Region,Punjab,India
142039,Chandigarh Region,Punjab,India
142040,Chandigarh Region,Punjab,India
142041,Chandigarh Region,Punjab,India
142042,Chandigarh Region,Punjab,India
142043,Chandigarh Region,Punjab,India
142044,Chandigarh Region,Punjab,India
142045,Chandigarh Region,Punjab,India
142046,Chandigarh Region,Punjab,India
142047,Chandigarh Region,Punjab,India
142048,Chandigarh Region,Punjab,India
142049,Chandigarh Region,Punjab,India
142050,Chandigarh Region,Punjab,India
142052,Chandigarh Region,Punjab,India
142053,Chandigarh Region,Punjab,India
142054,Chandigarh Region,Punjab,India
142055,Chandigarh Region,Punjab,India
142056,Chandigarh Region,Punjab,India
142057,Chandigarh Region,Punjab,India
142058,Chandigarh Region,Punjab,India
142060,Chandigarh Region,Punjab,India
143001,Chandigarh Region,Punjab,India
143002,Chandigarh Region,Punjab,India
143005,Chandigarh Region,Punjab,India
143006,Chandigarh Region,Punjab,India
143008,Chandigarh Region,Punjab,India
143009,Chandigarh Region,Punjab,India
143022,Chandigarh Region,Punjab,India
143101,Chandigarh Region,Punjab,India
143102,Chandigarh Region,Punjab,India
143103,Chandigarh Region,Punjab,India
143105,Chandigarh Region,Punjab,India
143107,Chandigarh Region,Punjab,India
143108,Chandigarh Region,Punjab,India
143109,Chandigarh Region,Punjab,India
143111,Chandigarh Region,Punjab,India
143112,Chandigarh Region,Punjab,India
143113,Chandigarh Region,Punjab,India
143114,Chandigarh Region,Punjab,India
143115,Chandigarh Region,Punjab,India
143116,Chandigarh Region,Punjab,India
143117,Chandigarh Region,Punjab,India
143118,Chandigarh Region,Punjab,India
143119,Chandigarh Region,Punjab,India
143149,Chandigarh Region,Punjab,India
143201,Chandigarh Region,Punjab,India
143202,Chandigarh Region,Punjab,India
143203,Chandigarh Region,Punjab,India
143204,Chandigarh Region,Punjab,India
143205,Chandigarh Region,Punjab,India
143301,Chandigarh Region,Punjab,India
143302,Chandigarh Region,Punjab,India
143303,Chandigarh Region,Punjab,India
143304,Chandigarh Region,Punjab,India
143305,Chandigarh Region,Punjab,India
143401,Chandigarh Region,Punjab,India
143402,Chandigarh Region,Punjab,India
143406,Chandigarh Region,Punjab,India
143407,Chandigarh Region,Punjab,India
143408,Chandigarh Region,Punjab,India
143409,Chandigarh Region,Punjab,India
143410,Chandigarh Region,Punjab,India
143411,Chandigarh Region,Punjab,India
143412,Chandigarh Region,Punjab,India
143413,Chandigarh Region,Punjab,India
143414,Chandigarh Region,Punjab,India
143415,Chandigarh Region,Punjab,India
143416,Chandigarh Region,Punjab,India
143419,Chandigarh Region,Punjab,India
143422,Chandigarh Region,Punjab,India
143501,Chandigarh Region,Punjab,India
143502,Chandigarh Region,Punjab,India
143504,Chandigarh Region,Punjab,India
143505,Chandigarh Region,Punjab,India
143506,Chandigarh Region,Punjab,India
143507,Chandigarh Region,Punjab,India
143511,Chandigarh Region,Punjab,India
143512,Chandigarh Region,Punjab,India
143513,Chandigarh Region,Punjab,India
143514,Chandigarh Region,Punjab,India
143515,Chandigarh Region,Punjab,India
143516,Chandigarh Region,Punjab,India
143517,Chandigarh Region,Punjab,India
143518,Chandigarh Region,Punjab,India
143519,Chandigarh Region,Punjab,India
143520,Chandigarh Region,Punjab,India
143521,Chandigarh Region,Punjab,India
143525,Chandigarh Region,Punjab,India
143526,Chandigarh Region,Punjab,India
143527,Chandigarh Region,Punjab,India
143528,Chandigarh Region,Punjab,India
143529,Chandigarh Region,Punjab,India
143530,Chandigarh Region,Punjab,India
143531,Chandigarh Region,Punjab,India
143532,Chandigarh Region,Punjab,India
143533,Chandigarh Region,Punjab,India
143534,Chandigarh Region,Punjab,India
143601,Chandigarh Region,Punjab,India
143602,Chandigarh Region,Punjab,India
143603,Chandigarh Region,Punjab,India
143604,Chandigarh Region,Punjab,India
143605,Chandigarh Region,Punjab,India
143606,Chandigarh Region,Punjab,India
144001,Chandigarh Region,Punjab,India
144002,Chandigarh Region,Punjab,India
144003,Chandigarh Region,Punjab,India
144004,Chandigarh Region,Punjab,India
144005,Chandigarh Region,Punjab,India
144006,Chandigarh Region,Punjab,India
144007,Chandigarh Region,Punjab,India
144008,Chandigarh Region,Punjab,India
144009,Chandigarh Region,Punjab,India
144010,Chandigarh Region,Punjab,India
144011,Chandigarh Region,Punjab,India
144012,Chandigarh Region,Punjab,India
144014,Chandigarh Region,Punjab,India
144020,Chandigarh Region,Punjab,India
144021,Chandigarh Region,Punjab,India
144022,Chandigarh Region,Punjab,India
144023,Chandigarh Region,Punjab,India
144024,Chandigarh Region,Punjab,India
144025,Chandigarh Region,Punjab,India
144026,Chandigarh Region,Punjab,India
144027,Chandigarh Region,Punjab,India
144028,Chandigarh Region,Punjab,India
144029,Chandigarh Region,Punjab,India
144030,Chandigarh Region,Punjab,India
144031,Chandigarh Region,Punjab,India
144032,Chandigarh Region,Punjab,India
144033,Chandigarh Region,Punjab,India
144034,Chandigarh Region,Punjab,India
144035,Chandigarh Region,Punjab,India
144036,Chandigarh Region,Punjab,India
144037,Chandigarh Region,Punjab,India
144039,Chandigarh Region,Punjab,India
144040,Chandigarh Region,Punjab,India
144041,Chandigarh Region,Punjab,India
144042,Chandigarh Region,Punjab,India
144043,Chandigarh Region,Punjab,India
144044,Chandigarh Region,Punjab,India
144101,Chandigarh Region,Punjab,India
144102,Chandigarh Region,Punjab,India
144103,Chandigarh Region,Punjab,India
144104,Chandigarh Region,Punjab,India
144105,Chandigarh Region,Punjab,India
144106,Chandigarh Region,Punjab,India
144201,Chandigarh Region,Punjab,India
144202,Chandigarh Region,Punjab,India
144204,Chandigarh Region,Punjab,India
144205,Chandigarh Region,Punjab,India
144206,Chandigarh Region,Punjab,India
144207,Chandigarh Region,Punjab,India
144208,Chandigarh Region,Punjab,India
144209,Chandigarh Region,Punjab,India
144210,Chandigarh Region,Punjab,India
144211,Chandigarh Region,Punjab,India
144212,Chandigarh Region,Punjab,India
144213,Chandigarh Region,Punjab,India
144214,Chandigarh Region,Punjab,India
144216,Chandigarh Region,Punjab,India
144221,Chandigarh Region,Punjab,India
144222,Chandigarh Region,Punjab,India
144223,Chandigarh Region,Punjab,India
144224,Chandigarh Region,Punjab,India
144301,Chandigarh Region,Punjab,India
144302,Chandigarh Region,Punjab,India
144303,Chandigarh Region,Punjab,India
144305,Chandigarh Region,Punjab,India
144306,Chandigarh Region,Punjab,India
144311,Chandigarh Region,Punjab,India
144401,Chandigarh Region,Punjab,India
144402,Chandigarh Region,Punjab,India
144403,Chandigarh Region,Punjab,India
144404,Chandigarh Region,Punjab,India
144405,Chandigarh Region,Punjab,India
144406,Chandigarh Region,Punjab,India
144407,Chandigarh Region,Punjab,India
144408,Chandigarh Region,Punjab,India
144409,Chandigarh Region,Punjab,India
144410,Chandigarh Region,Punjab,India
144411,Chandigarh Region,Punjab,India
144415,Chandigarh Region,Punjab,India
144416,Chandigarh Region,Punjab,India
144417,Chandigarh Region,Punjab,India
144418,Chandigarh Region,Punjab,India
144419,Chandigarh Region,Punjab,India
144421,Chandigarh Region,Punjab,India
144422,Chandigarh Region,Punjab,India
144501,Chandigarh Region,Punjab,India
144502,Chandigarh Region,Punjab,India
144503,Chandigarh Region,Punjab,India
144504,Chandigarh Region,Punjab,India
144505,Chandigarh Region,Punjab,India
144506,Chandigarh Region,Punjab,India
144507,Chandigarh Region,Punjab,India
144508,Chandigarh Region,Punjab,India
144509,Chandigarh Region,Punjab,India
144510,Chandigarh Region,Punjab,India
144511,Chandigarh Region,Punjab,India
144512,Chandigarh Region,Punjab,India
144513,Chandigarh Region,Punjab,India
144514,Chandigarh Region,Punjab,India
144515,Chandigarh Region,Punjab,India
144516,Chandigarh Region,Punjab,India
144517,Chandigarh Region,Punjab,India
144518,Chandigarh Region,Punjab,India
144519,Chandigarh Region,Punjab,India
144520,Chandigarh Region,Punjab,India
144521,Chandigarh Region,Punjab,India
144522,Chandigarh Region,Punjab,India
144523,Chandigarh Region,Punjab,India
144524,Chandigarh Region,Punjab,India
144525,Chandigarh Region,Punjab,India
144526,Chandigarh Region,Punjab,India
144527,Chandigarh Region,Punjab,India
144528,Chandigarh Region,Punjab,India
144529,Chandigarh Region,Punjab,India
144530,Chandigarh Region,Punjab,India
144531,Chandigarh Region,Punjab,India
144532,Chandigarh Region,Punjab,India
144533,Chandigarh Region,Punjab,India
144601,Chandigarh Region,Punjab,India
144602,Chandigarh Region,Punjab,India
144603,Chandigarh Region,Punjab,India
144606,Chandigarh Region,Punjab,India
144620,Chandigarh Region,Punjab,India
144621,Chandigarh Region,Punjab,India
144622,Chandigarh Region,Punjab,India
144623,Chandigarh Region,Punjab,India
144624,Chandigarh Region,Punjab,India
144625,Chandigarh Region,Punjab,India
144626,Chandigarh Region,Punjab,India
144628,Chandigarh Region,Punjab,India
144629,Chandigarh Region,Punjab,India
144630,Chandigarh Region,Punjab,India
144631,Chandigarh Region,Punjab,India
144632,Chandigarh Region,Punjab,India
144633,Chandigarh Region,Punjab,India
144701,Chandigarh Region,Punjab,India
144702,Chandigarh Region,Punjab,India
144703,Chandigarh Region,Punjab,India
144801,Chandigarh Region,Punjab,India
144802,Chandigarh Region,Punjab,India
144803,Chandigarh Region,Punjab,India
144804,Chandigarh Region,Punjab,India
144805,Chandigarh Region,Punjab,India
144806,Chandigarh Region,Punjab,India
144819,Chandigarh Region,Punjab,India
145001,Chandigarh Region,Punjab,India
145022,Chandigarh Region,Punjab,India
145023,Chandigarh Region,Punjab,India
145024,Chandigarh Region,Punjab,India
145025,Chandigarh Region,Punjab,India
145026,Chandigarh Region,Punjab,India
145027,Chandigarh Region,Punjab,India
145029,Chandigarh Region,Punjab,India
145101,Chandigarh Region,Punjab,India
146001,Chandigarh Region,Punjab,India
146021,Chandigarh Region,Punjab,India
146022,Chandigarh Region,Punjab,India
146023,Chandigarh Region,Punjab,India
146024,Chandigarh Region,Punjab,India
146101,Chandigarh Region,Punjab,India
146102,Chandigarh Region,Punjab,India
146103,Chandigarh Region,Punjab,India
146104,Chandigarh Region,Punjab,India
146105,Chandigarh Region,Punjab,India
146106,Chandigarh Region,Punjab,India
146107,Chandigarh Region,Punjab,India
146108,Chandigarh Region,Punjab,India
146109,Chandigarh Region,Punjab,India
146110,Chandigarh Region,Punjab,India
